date,platform,extraction_run,official_dau,model_dau,interval_id
2023-10-01,TOTAL,1,182967.8,47372.08664825631,1
2023-10-03,TOTAL,1,184631.2,46465.2490406956,1
2023-10-06,TOTAL,1,186294.5,45295.36529394872,1
2023-10-09,TOTAL,1,184631.2,44292.226825515376,1
2023-10-11,TOTAL,1,186294.5,43693.745034701715,1
2023-10-14,TOTAL,1,186294.5,42879.190705653935,1
2023-10-17,TOTAL,1,189621.2,42145.74916755658,1
2023-10-19,TOTAL,1,187957.8,41694.08834624408,1
2023-10-22,TOTAL,1,186294.5,41063.8425279717,1
2023-10-25,TOTAL,1,186294.5,40482.25557916591,1
2023-10-27,TOTAL,1,186294.5,41307.12230242617,1
2023-10-30,TOTAL,1,187957.8,40729.40036709297,1
2023-11-02,TOTAL,1,187957.8,39957.625659449965,1
2023-11-04,TOTAL,1,184631.2,39526.8393220931,1
2023-11-10,TOTAL,1,167997.8,38488.643824776824,1
2023-11-12,TOTAL,1,161344.4,38187.29974254155,1
2023-11-15,TOTAL,1,163007.8,37763.30221630269,1
2023-11-18,TOTAL,1,161344.4,55821.16660185629,1
2023-11-20,TOTAL,1,158017.8,54289.68373218697,1
2023-11-23,TOTAL,1,159681.1,49525.4862196119,1
2023-11-25,TOTAL,1,163007.8,56203.98725346289,1
2023-11-28,TOTAL,1,163007.8,53676.78077939752,1
2023-12-01,TOTAL,1,163007.8,70865.70206532818,1
2023-12-03,TOTAL,1,169661.1,68998.99317211678,1
2023-12-06,TOTAL,1,171324.5,64011.506806679536,1
2023-12-09,TOTAL,1,172987.8,57571.55708057616,1
2023-12-11,TOTAL,1,172987.8,55361.16715898273,1
2023-12-14,TOTAL,1,176314.5,75364.9897711165,1
2023-12-17,TOTAL,1,169661.1,76300.70265416549,1
2023-12-19,TOTAL,1,169661.1,72727.24921009551,1
2023-12-22,TOTAL,1,166334.4,78724.54396456815,1
2023-12-25,TOTAL,1,166334.4,76364.01469791147,1
2023-12-27,TOTAL,1,166334.4,72830.92446351101,1
2023-12-30,TOTAL,1,158017.8,88545.08376847325,1
2024-01-02,TOTAL,1,158017.8,87625.45882288789,1
2024-01-04,TOTAL,1,159681.1,83280.92853280064,1
