date,platform,extraction_run,official_dau,model_dau,interval_id,model_dau_scaled
2025-03-28,TOTAL,1,445775.2,234261.34034239268,3,458399.1002546858
2025-03-29,TOTAL,1,415835.1,228504.88516939434,3,447134.95454416395
2025-03-31,TOTAL,1,412508.4,219301.3605764022,3,429125.63475442305
2025-04-01,TOTAL,1,407518.4,215463.11294401635,3,421615.00897780637
2025-04-02,TOTAL,1,409181.8,211990.22566688253,3,414819.31490042555
2025-04-04,TOTAL,1,394211.7,205890.7996498608,3,402884.04895263305
2025-04-05,TOTAL,1,397538.4,203177.75173821114,3,397575.197223917
2025-04-07,TOTAL,1,400865.1,198276.71523542286,3,387984.9220214022
2025-04-08,TOTAL,1,410845.1,196046.4702277556,3,383620.81182136695
2025-04-11,TOTAL,1,430805.1,190054.84583012035,3,371896.49047613045
2025-04-12,TOTAL,1,460745.2,188253.42354033876,3,368371.4941809343
2025-04-14,TOTAL,1,490685.3,184893.1123531866,3,361796.08731902984
2025-04-15,TOTAL,1,505655.3,183320.98780879658,3,358719.7774354469
2025-04-17,TOTAL,1,502328.7,180365.51800930325,3,352936.55816871894
2025-04-18,TOTAL,1,507318.7,178973.08572780387,3,350211.8674277201
2025-04-20,TOTAL,1,510645.4,176339.6390606138,3,345058.77822809265
2025-04-21,TOTAL,1,508982.0,175092.09348099987,3,342617.5996265108
2025-04-23,TOTAL,1,492348.6,172721.30811170937,3,337978.4821409225
2025-04-24,TOTAL,1,490685.3,171593.20379906002,3,335771.0244308451
2025-04-25,TOTAL,1,487358.6,170500.3990569034,3,333632.6403943392
2025-04-27,TOTAL,1,484032.0,168413.0749096481,3,329548.19560441683
2025-04-28,TOTAL,1,487358.6,167415.12547845743,3,327595.4230270515
2025-04-30,TOTAL,1,497338.7,165503.0450901772,3,323853.89261353464
2025-05-01,TOTAL,1,494012.0,164586.20488635433,3,322059.83336374356
2025-05-03,TOTAL,1,479041.9,162824.85892397774,3,318613.2578288705
2025-05-05,TOTAL,1,450765.2,161152.813415472,3,315341.4240915425
2025-05-07,TOTAL,1,447438.5,159562.44875710376,3,312229.42222470726
2025-05-08,TOTAL,1,444111.9,158795.77398536162,3,310729.20445492544
2025-05-10,TOTAL,1,437458.5,157315.6359425151,3,307832.89238695084
2025-05-11,TOTAL,1,470725.3,156600.7837168381,3,306434.08020314603
2025-05-13,TOTAL,1,440785.2,155218.33172292513,3,303728.9187401885
2025-05-14,TOTAL,1,410845.1,154549.56397168327,3,302420.2839692931
2025-05-16,TOTAL,1,407518.4,253011.85003186128,3,495089.81822977524
2025-05-17,TOTAL,1,417498.4,254217.77518975516,3,497449.55461028556
2025-05-18,TOTAL,1,407518.4,251052.10071184006,3,491255.0099609015
2025-05-20,TOTAL,1,410845.1,240123.58085964952,3,469870.24515063607
2025-05-21,TOTAL,1,400865.1,234194.75988062448,3,458268.8165991561
2025-05-23,TOTAL,1,412508.4,285583.3510568928,3,558825.2461155565
2025-05-24,TOTAL,1,404191.7,290253.52590729017,3,567963.7746765442
2025-05-26,TOTAL,1,390885.0,281742.1024254478,3,551308.7480286962
2025-05-27,TOTAL,1,394211.7,274827.74905493273,3,537778.8443781214
2025-05-28,TOTAL,1,384231.7,267653.8754058664,3,523741.1153133668
2025-05-30,TOTAL,1,382568.4,347135.6051786138,3,679269.7798435944
2025-05-31,TOTAL,1,389221.7,341915.8075503356,3,669055.7576203072
2025-06-02,TOTAL,1,417498.4,324160.5599861639,3,634312.5537424514
2025-06-03,TOTAL,1,449101.9,314583.0380338118,3,615571.4014925287
2025-06-05,TOTAL,1,432468.5,288160.6629926352,3,563868.4917091026
2025-06-06,TOTAL,1,449101.9,279011.0733859843,3,545964.7110969953
2025-06-08,TOTAL,1,452428.5,265068.7714040881,3,518682.6223211045
2025-06-09,TOTAL,1,455755.2,259403.8670942566,3,507597.62197550654
2025-06-10,TOTAL,1,450765.2,254340.04633236182,3,497688.8129602808
2025-06-12,TOTAL,1,455755.2,245580.0277321393,3,480547.3390888892
2025-06-13,TOTAL,1,503992.0,241736.91572484616,3,473027.19477593375
2025-06-16,TOTAL,1,525615.4,231791.1856267358,3,453565.5383127452
2025-06-18,TOTAL,1,475715.3,226177.4007203889,3,442580.56765419955
2025-06-19,TOTAL,1,472388.6,223610.55230071052,3,437557.7969129797
2025-06-20,TOTAL,1,485695.3,221182.5241721257,3,432806.6676489295
2025-06-22,TOTAL,1,487358.6,216692.35674957925,3,424020.3749406242
2025-06-23,TOTAL,1,485695.3,214609.03006412997,3,419943.75232440117
2025-06-25,TOTAL,1,500665.3,210722.4382628041,3,412338.5273983376
2025-06-28,TOTAL,1,512308.7,205490.4875104558,3,402100.72412295325
2025-06-29,TOTAL,1,508982.0,203883.62391446857,3,398956.4373808217
2025-07-01,TOTAL,1,512308.7,200848.56341787984,4,393017.47622393013
2025-07-02,TOTAL,1,503992.0,199412.82907511306,4,390208.0526546501
2025-07-03,TOTAL,1,489022.0,198027.16489385886,4,387496.6056313654
2025-07-05,TOTAL,1,485695.3,195394.37592549366,4,382344.8034069987
2025-07-06,TOTAL,1,495675.3,194142.01865654977,4,379894.2093634308
2025-07-08,TOTAL,1,500665.3,191753.8423542605,4,375221.06155927794
2025-07-09,TOTAL,1,492348.6,190613.9390654022,4,372990.5157883612
2025-07-11,TOTAL,1,494012.0,188433.411851624,4,368723.6926266058
2025-07-12,TOTAL,1,500665.3,187389.54074843525,4,366681.06120571407
2025-07-14,TOTAL,1,505655.3,185387.29758914106,4,362763.1016253152
2025-07-15,TOTAL,1,494012.0,184426.30289912224,4,360882.641534844
2025-07-17,TOTAL,1,492348.6,333605.332294788,4,652793.9434675155
2025-07-18,TOTAL,1,490685.3,353192.25442890555,4,691121.3408516296
2025-07-19,TOTAL,1,487358.6,355477.5266931462,4,695593.1275674137
2025-07-21,TOTAL,1,490685.3,341686.232536127,4,668606.5286532041
2025-07-22,TOTAL,1,497338.7,331877.2783763007,4,649412.5133080689
2025-07-24,TOTAL,1,528942.1,297630.3435036497,4,582398.6214334685
2025-07-25,TOTAL,1,485695.3,286651.8305028252,4,560916.0307748612
2025-07-27,TOTAL,1,507318.7,270955.12894259015,4,530200.9590448802
2025-07-28,TOTAL,1,485695.3,264856.419955587,4,518267.09617074433
2025-07-30,TOTAL,1,523952.1,254775.42253143308,4,498540.7506194562
2025-07-31,TOTAL,1,495675.3,325117.81831032486,4,636185.7025678842
2025-08-02,TOTAL,1,502328.7,329369.6158155283,4,644505.5565736785
2025-08-07,TOTAL,1,567198.8,288562.9064485707,4,564655.5957101926
2025-08-09,TOTAL,1,558882.2,275106.10678816744,4,538323.5306429453
2025-08-10,TOTAL,1,558882.2,269860.91576663865,4,528059.8190061104
2025-08-12,TOTAL,1,535595.4,261037.7124217493,4,510794.7061678164
2025-08-13,TOTAL,1,555555.5,257232.12188410768,4,503347.98330759985
2025-08-15,TOTAL,1,577178.9,356890.78380259115,4,698358.5680214436
2025-08-16,TOTAL,1,565535.5,355834.64238128555,4,696291.9262248903
